NAMESPACE     LAST SEEN   TYPE      REASON                            OBJECT                                        MESSAGE
bookstore     13m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-wftpn               skip schedule deleting pod: bookstore/cartservice-89b8655b5-wftpn
bookstore     22m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-vlfml
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-tr58z
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-95tcq
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-t2m6r
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-wftpn
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-tfz2x
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-txxl6
bookstore     19m         Normal    SuccessfulCreate                  replicaset/cartservice-89b8655b5              Created pod: cartservice-89b8655b5-s9h6c
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-t2m6r
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-tr58z
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-txxl6
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-s9h6c
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-95tcq
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-tfz2x
bookstore     13m         Normal    SuccessfulDelete                  replicaset/cartservice-89b8655b5              Deleted pod: cartservice-89b8655b5-wftpn
bookstore     19m         Warning   FailedGetResourceMetric           horizontalpodautoscaler/cartservice-hpa       No recommendation
bookstore     29m         Normal    SuccessfulRescale                 horizontalpodautoscaler/cartservice-hpa       New size: 2; reason: cpu resource utilization (percentage of request) above target
bookstore     13m         Normal    SuccessfulRescale                 horizontalpodautoscaler/cartservice-hpa       New size: 1; reason: cpu resource utilization (percentage of request) below target
bookstore     19m         Normal    SuccessfulRescale                 horizontalpodautoscaler/cartservice-hpa       New size: 4; reason: cpu resource utilization (percentage of request) above target
bookstore     19m         Normal    SuccessfulRescale                 horizontalpodautoscaler/cartservice-hpa       New size: 8; reason: cpu resource utilization (percentage of request) above target
bookstore     20m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled down replica set cartservice-6c6bd49458 to 0 from 1
bookstore     29m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled up replica set cartservice-6c6bd49458 to 2 from 1
bookstore     24m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled down replica set cartservice-6c6bd49458 to 1 from 2
bookstore     22m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled up replica set cartservice-89b8655b5 to 1
bookstore     19m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled up replica set cartservice-89b8655b5 to 4 from 1
bookstore     19m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled up replica set cartservice-89b8655b5 to 8 from 4
bookstore     13m         Normal    ScalingReplicaSet                 deployment/cartservice                        Scaled down replica set cartservice-89b8655b5 to 1 from 8
bookstore     9m45s       Warning   FailedToRetrieveImagePullSecret   pod/catalog-blue-7f94cbcc4f-4rqx6             Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     5m18s       Normal    SuccessfulDelete                  replicaset/catalog-blue-7f94cbcc4f            Deleted pod: catalog-blue-7f94cbcc4f-4rqx6
bookstore     19m         Warning   FailedScheduling                  pod/catalog-blue-b8899987b-xrblf              0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     9m16s       Normal    NotTriggerScaleUp                 pod/catalog-blue-b8899987b-xrblf              pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/catalog-blue-b8899987b-xrblf              0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/catalog-blue-b8899987b-xrblf              pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/catalog-blue-b8899987b-xrblf              Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     5m47s       Normal    Scheduled                         pod/catalog-blue-b8899987b-xrblf              Successfully assigned bookstore/catalog-blue-b8899987b-xrblf to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     13s         Warning   FailedToRetrieveImagePullSecret   pod/catalog-blue-b8899987b-xrblf              Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     5m48s       Normal    Pulling                           pod/catalog-blue-b8899987b-xrblf              Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:c7d127aecedb500424d596ad11d3245eda81814a"
bookstore     5m46s       Normal    Pulled                            pod/catalog-blue-b8899987b-xrblf              Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:c7d127aecedb500424d596ad11d3245eda81814a" in 1.441s (1.441s including waiting). Image size: 410945240 bytes.
bookstore     5m46s       Normal    Created                           pod/catalog-blue-b8899987b-xrblf              Created container catalog-service
bookstore     5m46s       Normal    Started                           pod/catalog-blue-b8899987b-xrblf              Started container catalog-service
bookstore     19m         Normal    SuccessfulCreate                  replicaset/catalog-blue-b8899987b             Created pod: catalog-blue-b8899987b-xrblf
bookstore     4m19s       Warning   FailedGetResourceMetric           horizontalpodautoscaler/catalog-blue-hpa      No recommendation
bookstore     5m18s       Normal    ScalingReplicaSet                 deployment/catalog-blue                       Scaled down replica set catalog-blue-7f94cbcc4f to 0 from 1
bookstore     19m         Normal    ScalingReplicaSet                 deployment/catalog-blue                       Scaled up replica set catalog-blue-b8899987b to 1
bookstore     32m         Normal    Scheduled                         pod/catalog-green-59f485966d-226d8            Successfully assigned bookstore/catalog-green-59f485966d-226d8 to gke-bookstore-cluster-node-pool-90feec76-lzt9
bookstore     21m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-226d8            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     32m         Normal    Pulling                           pod/catalog-green-59f485966d-226d8            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     32m         Normal    Pulled                            pod/catalog-green-59f485966d-226d8            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.547s (1.547s including waiting). Image size: 410944984 bytes.
bookstore     32m         Normal    Created                           pod/catalog-green-59f485966d-226d8            Created container catalog-service
bookstore     32m         Normal    Started                           pod/catalog-green-59f485966d-226d8            Started container catalog-service
bookstore     27m         Warning   Unhealthy                         pod/catalog-green-59f485966d-226d8            Readiness probe failed: Get "http://10.116.0.20:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     32m         Normal    Scheduled                         pod/catalog-green-59f485966d-4kkhj            Successfully assigned bookstore/catalog-green-59f485966d-4kkhj to gke-bookstore-cluster-node-pool-90feec76-lzt9
bookstore     22m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-4kkhj            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     32m         Normal    Pulling                           pod/catalog-green-59f485966d-4kkhj            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     32m         Normal    Pulled                            pod/catalog-green-59f485966d-4kkhj            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.365s (1.365s including waiting). Image size: 410944984 bytes.
bookstore     32m         Normal    Created                           pod/catalog-green-59f485966d-4kkhj            Created container catalog-service
bookstore     32m         Normal    Started                           pod/catalog-green-59f485966d-4kkhj            Started container catalog-service
bookstore     27m         Warning   Unhealthy                         pod/catalog-green-59f485966d-4kkhj            Readiness probe failed: Get "http://10.116.0.18:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     33m         Normal    Scheduled                         pod/catalog-green-59f485966d-94r4g            Successfully assigned bookstore/catalog-green-59f485966d-94r4g to gke-bookstore-cluster-node-pool-90feec76-lzt9
bookstore     23m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-94r4g            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     33m         Normal    Pulling                           pod/catalog-green-59f485966d-94r4g            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     33m         Normal    Pulled                            pod/catalog-green-59f485966d-94r4g            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.385s (1.385s including waiting). Image size: 410944984 bytes.
bookstore     33m         Normal    Created                           pod/catalog-green-59f485966d-94r4g            Created container catalog-service
bookstore     33m         Normal    Started                           pod/catalog-green-59f485966d-94r4g            Started container catalog-service
bookstore     29m         Warning   Unhealthy                         pod/catalog-green-59f485966d-94r4g            Readiness probe failed: Get "http://10.116.0.17:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     32m         Normal    Scheduled                         pod/catalog-green-59f485966d-ch488            Successfully assigned bookstore/catalog-green-59f485966d-ch488 to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     21m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-ch488            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     32m         Normal    Pulling                           pod/catalog-green-59f485966d-ch488            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     32m         Normal    Pulled                            pod/catalog-green-59f485966d-ch488            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.4s (1.4s including waiting). Image size: 410944984 bytes.
bookstore     32m         Normal    Created                           pod/catalog-green-59f485966d-ch488            Created container catalog-service
bookstore     32m         Normal    Started                           pod/catalog-green-59f485966d-ch488            Started container catalog-service
bookstore     27m         Warning   Unhealthy                         pod/catalog-green-59f485966d-ch488            Readiness probe failed: Get "http://10.116.1.61:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     16m         Warning   FailedScheduling                  pod/catalog-green-59f485966d-gqt2n            0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     11m         Normal    NotTriggerScaleUp                 pod/catalog-green-59f485966d-gqt2n            pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     13m         Warning   FailedScheduling                  pod/catalog-green-59f485966d-gqt2n            0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     6m48s       Warning   FailedScheduling                  pod/catalog-green-59f485966d-gqt2n            skip schedule deleting pod: bookstore/catalog-green-59f485966d-gqt2n
bookstore     32m         Normal    Scheduled                         pod/catalog-green-59f485966d-jrsmk            Successfully assigned bookstore/catalog-green-59f485966d-jrsmk to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     21m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-jrsmk            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     32m         Normal    Pulling                           pod/catalog-green-59f485966d-jrsmk            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     32m         Normal    Pulled                            pod/catalog-green-59f485966d-jrsmk            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.459s (1.459s including waiting). Image size: 410944984 bytes.
bookstore     32m         Normal    Created                           pod/catalog-green-59f485966d-jrsmk            Created container catalog-service
bookstore     32m         Normal    Started                           pod/catalog-green-59f485966d-jrsmk            Started container catalog-service
bookstore     27m         Warning   Unhealthy                         pod/catalog-green-59f485966d-jrsmk            Readiness probe failed: Get "http://10.116.1.62:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     32m         Normal    Scheduled                         pod/catalog-green-59f485966d-q58nv            Successfully assigned bookstore/catalog-green-59f485966d-q58nv to gke-bookstore-cluster-node-pool-90feec76-lzt9
bookstore     21m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-q58nv            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     32m         Normal    Pulling                           pod/catalog-green-59f485966d-q58nv            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     32m         Normal    Pulled                            pod/catalog-green-59f485966d-q58nv            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.334s (1.334s including waiting). Image size: 410944984 bytes.
bookstore     32m         Normal    Created                           pod/catalog-green-59f485966d-q58nv            Created container catalog-service
bookstore     32m         Normal    Started                           pod/catalog-green-59f485966d-q58nv            Started container catalog-service
bookstore     29m         Warning   Unhealthy                         pod/catalog-green-59f485966d-q58nv            Readiness probe failed: Get "http://10.116.0.19:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     16m         Warning   FailedScheduling                  pod/catalog-green-59f485966d-qhjwz            0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     16m         Normal    NotTriggerScaleUp                 pod/catalog-green-59f485966d-qhjwz            pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     16m         Warning   FailedScheduling                  pod/catalog-green-59f485966d-qhjwz            0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     13m         Normal    Scheduled                         pod/catalog-green-59f485966d-qhjwz            Successfully assigned bookstore/catalog-green-59f485966d-qhjwz to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     10m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-qhjwz            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     13m         Normal    Pulling                           pod/catalog-green-59f485966d-qhjwz            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     13m         Normal    Pulled                            pod/catalog-green-59f485966d-qhjwz            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.538s (1.538s including waiting). Image size: 410944984 bytes.
bookstore     13m         Normal    Created                           pod/catalog-green-59f485966d-qhjwz            Created container catalog-service
bookstore     13m         Normal    Started                           pod/catalog-green-59f485966d-qhjwz            Started container catalog-service
bookstore     8m12s       Warning   Unhealthy                         pod/catalog-green-59f485966d-qhjwz            Readiness probe failed: Get "http://10.116.1.66:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     45m         Normal    Scheduled                         pod/catalog-green-59f485966d-srdvf            Successfully assigned bookstore/catalog-green-59f485966d-srdvf to gke-bookstore-cluster-node-pool-90feec76-lzt9
bookstore     43m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-srdvf            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
